Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_URL,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Division_ID,Team1_Is_Home,Team2_ID,Team2_Division_ID,Team2_Name,Custom_Opponent,Event_ID,Game_ID,Affects_Standings,Points_Win,Points_Loss,Points_Tie,Points_OT_Win,Points_OT_Loss,Division_Override
4/10/2022,14:30,4/10/2022,16:30,,,Hillcrest Park,http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=164,Midget Diamond,0,Game,,7073347,,1,7073399,,,,,,1,,,,,,,
4/10/2022,14:30,4/10/2022,16:30,,,Trafalgar Park,"https://www.google.com/maps/place/Trafalgar+Park/@49.2510074,-123.1645553,17z/data=!3m1!4b1!4m5!3m4!1s0x548673a09b6a9b15:0x85643662d26d2056!8m2!3d49.2510039!4d-123.1623666",SE Corner,0,Game,,7073378,,1,7073380,,,,,,1,,,,,,,
4/10/2022,17:30,4/10/2022,19:30,,,Hillcrest Park,http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=164,Midget Diamond,0,Game,,7073373,,1,7073374,,,,,,1,,,,,,,
4/10/2022,11:30,4/10/2022,13:30,,,Hillcrest Park,http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=164,Midget Diamond,0,Game,,7073342,,1,7073343,,,,,,1,,,,,,,
4/11/2022,17:30,4/11/2022,19:30,,,Hillcrest Park,http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=164,Midget Diamond,0,Game,,7073382,,1,7073406,,,,,,1,,,,,,,
4/12/2022,17:30,4/12/2022,19:30,,,Trafalgar Park,"https://www.google.com/maps/place/Trafalgar+Park/@49.2510074,-123.1645553,17z/data=!3m1!4b1!4m5!3m4!1s0x548673a09b6a9b15:0x85643662d26d2056!8m2!3d49.2510039!4d-123.1623666",SE Corner,0,Game,,7073342,,1,7073347,,,,,,1,,,,,,,
4/13/2022,17:30,4/13/2022,19:30,,,Hillcrest Park,http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=164,Midget Diamond,0,Game,,7073343,,1,7073399,,,,,,1,,,,,,,
4/14/2022,17:30,4/14/2022,19:30,,,Trafalgar Park,"https://www.google.com/maps/place/Trafalgar+Park/@49.2510074,-123.1645553,17z/data=!3m1!4b1!4m5!3m4!1s0x548673a09b6a9b15:0x85643662d26d2056!8m2!3d49.2510039!4d-123.1623666",SE Corner,0,Game,,7073373,,1,7073406,,,,,,1,,,,,,,
4/15/2022,17:30,4/15/2022,19:30,,,Hillcrest Park,http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=164,Midget Diamond,0,Game,,7073374,,1,7073378,,,,,,1,,,,,,,
4/16/2022,14:30,4/16/2022,16:30,,,Hillcrest Park,http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=164,Midget Diamond,0,Game,,7073406,,1,7073342,,,,,,1,,,,,,,
4/16/2022,14:30,4/16/2022,16:30,,,Trafalgar Park,"https://www.google.com/maps/place/Trafalgar+Park/@49.2510074,-123.1645553,17z/data=!3m1!4b1!4m5!3m4!1s0x548673a09b6a9b15:0x85643662d26d2056!8m2!3d49.2510039!4d-123.1623666",SE Corner,0,Game,,7073343,,1,7073347,,,,,,1,,,,,,,
4/16/2022,17:30,4/16/2022,19:30,,,Hillcrest Park,http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=164,Midget Diamond,0,Game,,7073399,,1,7073373,,,,,,1,,,,,,,
4/16/2022,11:30,4/16/2022,13:30,,,Hillcrest Park,http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=164,Midget Diamond,0,Game,,7073382,,1,7073380,,,,,,1,,,,,,,
4/18/2022,17:30,4/18/2022,19:30,,,Hillcrest Park,http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=164,Midget Diamond,0,Game,,7073374,,1,7073382,,,,,,1,,,,,,,
4/19/2022,17:30,4/19/2022,19:30,,,Trafalgar Park,"https://www.google.com/maps/place/Trafalgar+Park/@49.2510074,-123.1645553,17z/data=!3m1!4b1!4m5!3m4!1s0x548673a09b6a9b15:0x85643662d26d2056!8m2!3d49.2510039!4d-123.1623666",SE Corner,0,Game,,7073378,,1,7073342,,,,,,1,,,,,,,
4/20/2022,17:30,4/20/2022,19:30,,,Hillcrest Park,http://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=164,Midget Diamond,0,Game,,7073380,,1,7073343,,,,,,1,,,,,,,
4/21/2022,17:30,4/21/2022,19:30,,,Trafalgar Park,"https://www.google.com/maps/place/Trafalgar+Park/@49.2510074,-123.1645553,17z/data=!3m1!4b1!4m5!3m4!1s0x548673a09b6a9b15:0x85643662d26d2056!8m2!3d49.2510039!4d-123.1623666",SE Corner,0,Game,,7073347,,1,7073373,,,,,,1,,,,,,,
